"Vueltas","Tiempo","Tiempo acumulado","Distancia","Ritmo medio","GAP medio","Frecuencia cardiaca media","Frecuencia cardiaca máxima","Ascenso total","Descenso total","Potencia media","Media de W/kg","Potencia máxima","Máximo de W/kg","Cadencia de carrera media","Tiempo medio de contacto con el suelo","Equilibrio de TCS medio","Longitud media de zancada","Oscilación vertical media","Relación vertical media","Calorías","Temperatura media","Ritmo óptimo","Cadencia de carrera máxima","Tiempo en movimiento","Ritmo medio en movimiento"
"1","5:26.6","5:26.6","1.00","5:27","","125","134","1","6","","","","","160","","","1.15","","","65","31.0","5:04","169","5:20","5:20"
"2","10:56","16:22","1.00","10:56","","120","145","46","9","","","","","88","","","1.04","","","101","29.0","4:55","171","6:31","6:31"
"3","6:35.8","22:58","1.00","6:36","","133","146","33","38","","","","","142","","","1.07","","","78","33.0","4:50","215","6:12","6:12"
"4","7:37.0","30:35","1.00","7:37","","136","149","71","35","","","","","140","","","0.94","","","90","32.0","4:54","180","6:59","6:59"
"5","8:53.2","39:28","1.00","8:53","","140","164","77","76","","","","","126","","","0.89","","","101","32.0","4:52","242","7:42","7:42"
"6","5:03.2","44:32","1.00","5:03","","136","157","0","57","","","","","171","","","1.16","","","63","32.0","4:26","198","5:03.2","5:03"
"7","7:14.9","51:47","1.00","7:15","","143","152","69","13","","","","","148","","","0.93","","","90","32.0","4:45","247","7:02","7:02"
"8","10:15","1:02:02","1.00","10:15","","135","148","79","75","","","","","70","","","1.40","","","100","32.0","4:30","239","8:10","8:10"
"9","5:27.8","1:07:30","1.00","5:28","","125","136","0","70","","","","","122","","","1.49","","","55","32.0","4:38","176","5:27.8","5:28"
"10","7:29.0","1:14:59","1.00","7:29","","138","143","67","0","","","","","99","","","1.35","","","86","32.0","5:14","175","7:29.0","7:29"
"11","10:42","1:25:40","1.00","10:42","","117","134","7","81","","","","","68","","","1.37","","","76","32.0","4:45","173","5:39","5:39"
"12","5:27.4","1:31:08","1.00","5:27","","132","136","12","0","","","","","169","","","1.08","","","73","33.0","5:12","173","5:27.4","5:27"
"13","2:37.9","1:33:46","0.24","10:57","","103","134","1","2","","","","","98","","","0.93","","","16","33.0","5:33","173","2:37","10:54"
"Resumen","1:33:46","1:33:46","12.24","7:40","","130","164","461","463","","","","","117","","","1.15","","","993","31.7","4:26","247","1:19:39","6:30"
