"Vueltas","Tiempo","Tiempo acumulado","Distancia","Ritmo medio","GAP medio","Frecuencia cardiaca media","Frecuencia cardiaca máxima","Ascenso total","Descenso total","Potencia media","Media de W/kg","Potencia máxima","Máximo de W/kg","Cadencia de carrera media","Tiempo medio de contacto con el suelo","Equilibrio de TCS medio","Longitud media de zancada","Oscilación vertical media","Relación vertical media","Calorías","Temperatura media","Ritmo óptimo","Cadencia de carrera máxima","Tiempo en movimiento","Ritmo medio en movimiento"
"1","5:24.8","5:24.8","1.00","5:25","--","126","134","2","11","--","--","--","--","161","--","--","1.15","--","--","61","31.0","4:52","170","5:24.8","5:25"
"2","9:50.0","15:15","1.00","9:50","--","119","143","23","9","--","--","--","--","86","--","--","1.18","--","--","91","31.0","4:46","170","6:04","6:04"
"3","7:24.8","22:40","1.00","7:25","--","135","147","57","36","--","--","--","--","131","--","--","1.03","--","--","87","30.0","4:42","181","7:07","7:07"
"4","7:20.7","30:00","1.00","7:21","--","136","149","65","41","--","--","--","--","140","--","--","0.97","--","--","84","31.0","4:56","238","6:44","6:44"
"5","8:36.5","38:37","1.00","8:37","--","139","164","72","76","--","--","--","--","137","--","--","0.85","--","--","99","31.0","4:59","249","7:31","7:31"
"6","5:28.8","44:06","1.00","5:29","--","140","159","18","52","--","--","--","--","166","--","--","1.10","--","--","62","31.0","4:36","178","5:28.8","5:29"
"7","7:09.3","51:15","1.00","7:09","--","142","152","75","27","--","--","--","--","148","--","--","0.94","--","--","86","31.0","4:35","249","6:58","6:58"
"8","10:06","1:01:21","1.00","10:06","--","134","151","80","76","--","--","--","--","68","--","--","1.45","--","--","95","31.0","3:53","246","8:11","8:11"
"9","5:26.8","1:06:48","1.00","5:27","--","127","145","0","66","--","--","--","--","112","--","--","1.63","--","--","34","30.0","4:37","173","5:26.8","5:27"
"10","7:28.3","1:14:16","1.00","7:28","--","137","144","75","13","--","--","--","--","59","--","--","2.25","--","--","76","30.0","4:47","173","7:28","7:28"
"11","10:32","1:24:48","1.00","10:32","--","119","136","5","84","--","--","--","--","65","--","--","1.46","--","--","48","32.0","4:16","174","5:41","5:41"
"12","5:23.9","1:30:12","1.00","5:24","--","132","136","13","0","--","--","--","--","169","--","--","1.09","--","--","44","31.0","4:57","173","5:23.9","5:24"
"13","3:32.7","1:33:45","0.41","8:38","--","126","135","5","4","--","--","--","--","123","--","--","0.94","--","--","21","30.0","5:26","173","3:32","8:37"
"Resumen","1:33:45","1:33:45","12.41","7:33","","131","164","490","493","","","","","114","","","1.26","","","888","30.9","3:53","249","1:21:00","6:32"
